,square,space_H,space_W,square_H,square_W,margin_H,margin_W,amount_sq_H,amount_sq_W,h,w,busbar_width,coverage [%],amount of ptc elements,square/aspect-ratio
48,0.075,4.8,3.3,0.5,6.7,5.05,6.15,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
49,0.075,4.8,3.5999999999999996,0.5,6.7,5.05,6.0,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
50,0.075,4.8,3.8999999999999995,0.5,6.7,5.05,5.85,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
51,0.075,4.8,4.2,0.5,6.7,5.05,5.7,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
52,0.075,4.8,4.5,0.5,6.7,5.05,5.55,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
53,0.075,4.8,4.8,0.5,6.7,5.05,5.4,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
54,0.075,4.8,2.4,0.5,6.7,5.05,6.6,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
55,0.075,4.8,2.6999999999999997,0.5,6.7,5.05,6.45,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
56,0.075,4.8,2.9999999999999996,0.5,6.7,5.05,6.3,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
57,0.075,4.8,3.3,0.5,6.7,5.05,6.15,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
58,0.075,4.8,3.5999999999999996,0.5,6.7,5.05,6.0,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
59,0.075,4.8,3.8999999999999995,0.5,6.7,5.05,5.85,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
60,0.075,4.8,4.2,0.5,6.7,5.05,5.7,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
61,0.075,4.8,4.5,0.5,6.7,5.05,5.55,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
62,0.075,4.8,4.8,0.5,6.7,5.05,5.4,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
63,0.075,4.8,2.0999999999999996,0.5,6.7,5.05,6.75,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
64,0.075,4.8,2.4,0.5,6.7,5.05,6.6,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
65,0.075,4.8,2.6999999999999997,0.5,6.7,5.05,6.45,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
66,0.075,4.8,2.9999999999999996,0.5,6.7,5.05,6.3,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
67,0.075,4.8,3.3,0.5,6.7,5.05,6.15,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
68,0.075,4.8,3.5999999999999996,0.5,6.7,5.05,6.0,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
69,0.075,4.8,3.8999999999999995,0.5,6.7,5.05,5.85,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
70,0.075,4.8,4.2,0.5,6.7,5.05,5.7,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
71,0.075,4.8,4.5,0.5,6.7,5.05,5.55,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
72,0.075,4.8,4.8,0.5,6.7,5.05,5.4,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
73,0.075,4.8,1.8,0.5,6.7,5.05,6.9,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
74,0.075,4.8,2.0999999999999996,0.5,6.7,5.05,6.75,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
75,0.075,4.8,2.4,0.5,6.7,5.05,6.6,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
76,0.075,4.8,2.6999999999999997,0.5,6.7,5.05,6.45,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
77,0.075,4.8,2.9999999999999996,0.5,6.7,5.05,6.3,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
78,0.075,4.8,3.3,0.5,6.7,5.05,6.15,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
79,0.075,4.8,3.5999999999999996,0.5,6.7,5.05,6.0,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
80,0.075,4.8,3.8999999999999995,0.5,6.7,5.05,5.85,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
81,0.075,4.8,4.2,0.5,6.7,5.05,5.7,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
82,0.075,4.8,4.5,0.5,6.7,5.05,5.55,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
83,0.075,4.8,4.8,0.5,6.7,5.05,5.4,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
84,0.075,4.8,1.8,0.5,6.7,5.05,6.9,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
85,0.075,4.8,2.0999999999999996,0.5,6.7,5.05,6.75,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
86,0.075,4.8,2.4,0.5,6.7,5.05,6.6,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
87,0.075,4.8,2.6999999999999997,0.5,6.7,5.05,6.45,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
88,0.075,4.8,2.9999999999999996,0.5,6.7,5.05,6.3,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
89,0.075,4.8,3.3,0.5,6.7,5.05,6.15,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
90,0.075,4.8,3.5999999999999996,0.5,6.7,5.05,6.0,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
91,0.075,4.8,3.8999999999999995,0.5,6.7,5.05,5.85,29.0,2.0,159.0,29.0,5.379,3.0,58.0,0.07
92,0.088,4.2,4.8,0.5,5.7,1.7,6.4,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
93,0.088,4.2,4.5,0.5,5.7,1.7,6.55,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
94,0.088,4.2,4.8,0.5,5.7,1.7,6.4,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
95,0.088,4.2,4.5,0.5,5.7,1.7,6.55,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
96,0.088,4.2,4.8,0.5,5.7,1.7,6.4,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
97,0.088,4.2,4.2,0.5,5.7,1.7,6.7,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
98,0.088,4.2,4.5,0.5,5.7,1.7,6.55,34.0,2.0,159.0,29.0,5.379,3.0,68.0,0.09
