,coverage [%],amount of ptc elements,square/aspect-ratio
226,6.0,78.0,0.1
227,6.0,78.0,0.1
228,6.0,78.0,0.1
229,6.0,78.0,0.1
230,6.0,78.0,0.1
231,6.0,78.0,0.1
232,6.0,78.0,0.1
233,6.0,78.0,0.1
234,6.0,78.0,0.1
235,6.0,78.0,0.1
236,6.0,78.0,0.1
237,6.0,78.0,0.1
238,6.0,78.0,0.1
239,6.0,78.0,0.1
240,6.0,78.0,0.1
241,6.0,78.0,0.1
242,6.0,78.0,0.1
243,6.0,78.0,0.1
244,6.0,78.0,0.1
245,6.0,78.0,0.1
246,6.0,78.0,0.1
247,6.0,78.0,0.1
248,6.0,78.0,0.1
249,6.0,78.0,0.1
250,6.0,78.0,0.1
251,6.0,78.0,0.1
252,6.0,78.0,0.1
253,6.0,78.0,0.1
254,6.0,78.0,0.1
255,6.0,78.0,0.1
256,6.0,78.0,0.1
257,6.0,78.0,0.1
258,6.0,78.0,0.1
259,6.0,78.0,0.1
260,6.0,78.0,0.1
261,6.0,78.0,0.1
262,6.0,78.0,0.1
263,6.0,78.0,0.1
264,6.0,78.0,0.1
265,6.0,78.0,0.1
266,6.0,78.0,0.1
267,6.0,78.0,0.1
268,6.0,78.0,0.1
269,6.0,78.0,0.1
270,6.0,78.0,0.1
271,6.0,78.0,0.1
272,6.0,78.0,0.1
273,6.0,78.0,0.1
274,6.0,78.0,0.1
275,6.0,78.0,0.1
276,6.0,78.0,0.1
277,6.0,78.0,0.1
278,6.0,78.0,0.1
279,6.0,78.0,0.1
280,6.0,78.0,0.1
281,6.0,78.0,0.1
282,6.0,78.0,0.1
283,6.0,78.0,0.1
284,6.0,78.0,0.1
285,6.0,78.0,0.1
286,6.0,78.0,0.1
287,6.0,78.0,0.1
288,6.0,78.0,0.1
289,6.0,78.0,0.1
290,6.0,78.0,0.1
291,6.0,78.0,0.1
292,6.0,78.0,0.1
293,6.0,78.0,0.1
294,6.0,78.0,0.1
295,6.0,78.0,0.1
296,6.0,78.0,0.1
297,6.0,78.0,0.1
298,6.0,78.0,0.1
299,6.0,78.0,0.1
300,6.0,78.0,0.1
301,6.0,78.0,0.1
302,6.0,78.0,0.1
303,6.0,78.0,0.1
304,6.0,78.0,0.1
305,6.0,78.0,0.1
306,6.0,78.0,0.1
307,6.0,78.0,0.1
308,6.0,78.0,0.1
309,6.0,78.0,0.1
310,6.0,78.0,0.1
311,6.0,78.0,0.1
312,6.0,78.0,0.1
313,6.0,78.0,0.1
314,6.0,78.0,0.1
315,6.0,78.0,0.1
316,6.0,78.0,0.1
317,6.0,78.0,0.1
318,6.0,78.0,0.1
319,6.0,78.0,0.1
320,6.0,78.0,0.1
321,6.0,78.0,0.1
322,6.0,78.0,0.1
323,6.0,78.0,0.1
324,6.0,78.0,0.1
325,6.0,78.0,0.1
326,6.0,78.0,0.1
327,6.0,78.0,0.1
328,6.0,78.0,0.1
329,6.0,78.0,0.1
330,6.0,78.0,0.1
331,6.0,78.0,0.1
332,6.0,78.0,0.1
333,6.0,78.0,0.1
334,6.0,78.0,0.1
335,6.0,78.0,0.1
336,6.0,78.0,0.1
337,6.0,78.0,0.1
338,6.0,78.0,0.1
339,6.0,78.0,0.1
340,6.0,78.0,0.1
341,6.0,78.0,0.1
342,6.0,78.0,0.1
343,6.0,78.0,0.1
344,6.0,78.0,0.1
345,6.0,78.0,0.1
346,6.0,78.0,0.1
347,6.0,78.0,0.1
348,6.0,78.0,0.1
349,6.0,78.0,0.1
350,6.0,78.0,0.1
351,6.0,78.0,0.1
352,6.0,78.0,0.1
353,6.0,78.0,0.1
354,6.0,78.0,0.1
355,6.0,78.0,0.1
356,6.0,78.0,0.1
357,6.0,78.0,0.1
358,6.0,78.0,0.1
359,6.0,78.0,0.1
360,6.0,78.0,0.1
361,6.0,78.0,0.1
362,3.0,76.0,0.1
363,3.0,76.0,0.1
364,3.0,76.0,0.1
365,3.0,76.0,0.1
366,3.0,76.0,0.1
367,3.0,76.0,0.1
368,3.0,76.0,0.1
369,3.0,76.0,0.1
370,3.0,76.0,0.1
371,3.0,76.0,0.1
372,3.0,76.0,0.1
373,3.0,76.0,0.1
374,3.0,76.0,0.1
375,3.0,76.0,0.1
376,3.0,76.0,0.1
377,3.0,76.0,0.1
378,3.0,76.0,0.1
379,3.0,76.0,0.1
380,3.0,76.0,0.1
381,3.0,76.0,0.1
382,6.0,86.0,0.11
383,6.0,86.0,0.11
384,6.0,86.0,0.11
385,6.0,86.0,0.11
386,6.0,86.0,0.11
387,6.0,86.0,0.11
388,6.0,86.0,0.11
389,6.0,86.0,0.11
390,6.0,86.0,0.11
391,6.0,86.0,0.11
392,6.0,86.0,0.11
393,6.0,86.0,0.11
394,6.0,86.0,0.11
395,6.0,86.0,0.11
396,6.0,86.0,0.11
397,6.0,86.0,0.11
398,6.0,86.0,0.11
399,6.0,86.0,0.11
400,6.0,86.0,0.11
401,6.0,86.0,0.11
402,6.0,86.0,0.11
403,6.0,86.0,0.11
404,6.0,86.0,0.11
405,6.0,86.0,0.11
406,6.0,86.0,0.11
407,6.0,86.0,0.11
408,6.0,86.0,0.11
409,6.0,86.0,0.11
410,6.0,86.0,0.11
411,6.0,86.0,0.11
412,6.0,86.0,0.11
413,6.0,86.0,0.11
414,6.0,86.0,0.11
415,6.0,86.0,0.11
416,6.0,86.0,0.11
417,6.0,86.0,0.11
418,6.0,86.0,0.11
419,6.0,86.0,0.11
420,6.0,86.0,0.11
421,6.0,86.0,0.11
422,6.0,86.0,0.11
423,6.0,86.0,0.11
424,6.0,86.0,0.11
425,6.0,86.0,0.11
426,6.0,86.0,0.11
427,6.0,86.0,0.11
428,6.0,86.0,0.11
429,6.0,86.0,0.11
430,6.0,86.0,0.11
431,6.0,86.0,0.11
432,6.0,86.0,0.11
433,6.0,86.0,0.11
434,6.0,86.0,0.11
435,6.0,86.0,0.11
436,6.0,86.0,0.11
437,6.0,86.0,0.11
438,6.0,86.0,0.11
439,6.0,86.0,0.11
440,6.0,86.0,0.11
441,6.0,86.0,0.11
442,6.0,86.0,0.11
443,6.0,86.0,0.11
444,6.0,86.0,0.11
445,6.0,86.0,0.11
446,6.0,86.0,0.11
447,6.0,86.0,0.11
448,6.0,86.0,0.11
449,6.0,86.0,0.11
450,6.0,86.0,0.11
451,6.0,86.0,0.11
452,6.0,86.0,0.11
453,6.0,86.0,0.11
454,6.0,86.0,0.11
455,6.0,86.0,0.11
456,6.0,86.0,0.11
457,6.0,86.0,0.11
458,6.0,86.0,0.11
459,6.0,86.0,0.11
460,6.0,86.0,0.11
461,6.0,86.0,0.11
462,6.0,86.0,0.11
463,6.0,86.0,0.11
464,6.0,86.0,0.11
465,6.0,86.0,0.11
466,6.0,86.0,0.11
467,6.0,86.0,0.11
468,6.0,86.0,0.11
469,6.0,86.0,0.11
470,6.0,86.0,0.11
471,6.0,86.0,0.11
472,6.0,86.0,0.11
473,6.0,86.0,0.11
474,6.0,86.0,0.11
