,coverage [%],amount of ptc elements,square/aspect-ratio
994,6.0,102.0,0.13
995,6.0,102.0,0.13
996,6.0,102.0,0.13
997,6.0,102.0,0.13
998,6.0,102.0,0.13
999,6.0,102.0,0.13
1000,6.0,102.0,0.13
1001,6.0,102.0,0.13
1002,6.0,102.0,0.13
1003,6.0,102.0,0.13
1004,6.0,102.0,0.13
1005,6.0,102.0,0.13
1006,6.0,102.0,0.13
1007,6.0,102.0,0.13
1008,6.0,102.0,0.13
1009,6.0,102.0,0.13
1010,6.0,102.0,0.13
1011,6.0,102.0,0.13
1012,6.0,102.0,0.13
1013,6.0,102.0,0.13
1014,6.0,102.0,0.13
1015,6.0,102.0,0.13
1016,6.0,102.0,0.13
1017,6.0,102.0,0.13
1018,6.0,102.0,0.13
1019,6.0,102.0,0.13
1020,6.0,102.0,0.13
1021,6.0,102.0,0.13
1022,6.0,102.0,0.13
1023,6.0,102.0,0.13
1024,6.0,102.0,0.13
1025,6.0,102.0,0.13
1026,6.0,102.0,0.13
1027,6.0,102.0,0.13
1028,6.0,102.0,0.13
1029,6.0,102.0,0.13
1030,6.0,102.0,0.13
1031,6.0,102.0,0.13
1032,6.0,102.0,0.13
1033,6.0,102.0,0.13
1034,6.0,102.0,0.13
1035,6.0,102.0,0.13
1036,6.0,102.0,0.13
1037,6.0,102.0,0.13
1038,6.0,102.0,0.13
1039,6.0,102.0,0.13
1040,6.0,102.0,0.13
1041,6.0,102.0,0.13
1042,6.0,102.0,0.13
1043,6.0,102.0,0.13
1044,6.0,102.0,0.13
1045,6.0,102.0,0.13
1046,6.0,102.0,0.13
1047,6.0,102.0,0.13
1048,6.0,102.0,0.13
1049,6.0,102.0,0.13
1050,6.0,102.0,0.13
1051,6.0,102.0,0.13
1052,6.0,102.0,0.13
1053,6.0,102.0,0.13
1054,6.0,102.0,0.13
1055,6.0,102.0,0.13
1056,6.0,102.0,0.13
1057,6.0,102.0,0.13
1058,6.0,102.0,0.13
1059,6.0,102.0,0.13
1060,6.0,102.0,0.13
1061,6.0,102.0,0.13
1062,6.0,102.0,0.13
1063,6.0,102.0,0.13
1064,6.0,102.0,0.13
1065,6.0,102.0,0.13
1066,6.0,102.0,0.13
1067,6.0,102.0,0.13
1068,6.0,102.0,0.13
1069,6.0,102.0,0.13
1070,6.0,102.0,0.13
1071,6.0,102.0,0.13
1072,6.0,102.0,0.13
1073,6.0,102.0,0.13
1074,6.0,102.0,0.13
1075,6.0,102.0,0.13
1076,6.0,102.0,0.13
1077,6.0,102.0,0.13
1078,6.0,102.0,0.13
1079,6.0,102.0,0.13
1080,6.0,102.0,0.13
1081,6.0,102.0,0.13
1082,6.0,102.0,0.13
1083,6.0,102.0,0.13
1084,6.0,102.0,0.13
1085,6.0,102.0,0.13
1086,6.0,102.0,0.13
1087,6.0,102.0,0.13
1088,6.0,102.0,0.13
1089,6.0,102.0,0.13
1090,6.0,102.0,0.13
1091,6.0,102.0,0.13
1092,6.0,102.0,0.13
1093,6.0,102.0,0.13
1094,6.0,102.0,0.13
1095,6.0,102.0,0.13
1096,6.0,102.0,0.13
1097,6.0,102.0,0.13
1098,6.0,102.0,0.13
1099,6.0,102.0,0.13
1100,6.0,102.0,0.13
1101,6.0,102.0,0.13
1102,6.0,102.0,0.13
1103,6.0,102.0,0.13
1104,6.0,102.0,0.13
1105,6.0,102.0,0.13
1106,6.0,102.0,0.13
1107,6.0,102.0,0.13
1108,6.0,102.0,0.13
1109,6.0,102.0,0.13
1110,6.0,102.0,0.13
1111,6.0,102.0,0.13
1112,6.0,102.0,0.13
1113,6.0,102.0,0.13
1114,6.0,102.0,0.13
1115,6.0,102.0,0.13
1116,6.0,102.0,0.13
1117,6.0,102.0,0.13
1118,6.0,102.0,0.13
1119,6.0,102.0,0.13
1120,6.0,102.0,0.13
1121,6.0,102.0,0.13
1122,6.0,102.0,0.13
1123,6.0,102.0,0.13
1124,6.0,102.0,0.13
1125,6.0,102.0,0.13
1126,6.0,102.0,0.13
1127,6.0,102.0,0.13
1128,6.0,102.0,0.13
1129,6.0,102.0,0.13
1130,6.0,102.0,0.13
1131,6.0,102.0,0.13
1132,6.0,102.0,0.13
1133,6.0,102.0,0.13
1134,6.0,102.0,0.13
1135,6.0,102.0,0.13
1136,6.0,102.0,0.13
1137,6.0,102.0,0.13
1138,6.0,102.0,0.13
1139,6.0,102.0,0.13
1140,6.0,102.0,0.13
1141,6.0,102.0,0.13
1142,6.0,102.0,0.13
1143,6.0,102.0,0.13
1144,6.0,102.0,0.13
1145,6.0,102.0,0.13
1146,6.0,102.0,0.13
1147,6.0,102.0,0.13
1148,6.0,102.0,0.13
1149,6.0,102.0,0.13
1150,6.0,102.0,0.13
1151,6.0,102.0,0.13
1152,6.0,102.0,0.13
1153,6.0,102.0,0.13
1154,6.0,102.0,0.13
1155,6.0,102.0,0.13
1156,6.0,102.0,0.13
1157,6.0,102.0,0.13
1158,6.0,102.0,0.13
1159,6.0,102.0,0.13
1160,6.0,102.0,0.13
1161,6.0,102.0,0.13
1162,6.0,102.0,0.13
1163,6.0,102.0,0.13
1164,6.0,102.0,0.13
1165,6.0,102.0,0.13
1166,6.0,102.0,0.13
1167,6.0,102.0,0.13
1168,6.0,102.0,0.13
1169,3.0,99.0,0.13
1170,3.0,99.0,0.13
1171,3.0,99.0,0.13
1172,3.0,99.0,0.13
1173,3.0,99.0,0.13
1174,3.0,99.0,0.13
1175,3.0,99.0,0.13
1176,3.0,99.0,0.13
1177,3.0,99.0,0.13
1178,3.0,99.0,0.13
1179,3.0,99.0,0.13
1180,3.0,99.0,0.13
1181,3.0,99.0,0.13
1182,3.0,99.0,0.13
1183,3.0,99.0,0.13
1184,3.0,99.0,0.13
1185,3.0,99.0,0.13
1186,3.0,99.0,0.13
1187,3.0,99.0,0.13
1188,3.0,99.0,0.13
1189,3.0,99.0,0.13
1190,3.0,99.0,0.13
1191,3.0,99.0,0.13
1192,3.0,99.0,0.13
1193,3.0,99.0,0.13
1194,3.0,99.0,0.13
1195,3.0,99.0,0.13
1196,3.0,99.0,0.13
1197,3.0,99.0,0.13
1198,3.0,99.0,0.13
1199,3.0,99.0,0.13
1200,3.0,99.0,0.13
1201,3.0,99.0,0.13
1202,3.0,99.0,0.13
1203,3.0,99.0,0.13
1204,3.0,99.0,0.13
1205,3.0,99.0,0.13
1206,3.0,99.0,0.13
1207,3.0,99.0,0.13
1208,3.0,99.0,0.13
1209,3.0,99.0,0.13
1210,3.0,99.0,0.13
1211,3.0,99.0,0.13
1212,3.0,99.0,0.13
1213,3.0,99.0,0.13
1214,3.0,99.0,0.13
1215,3.0,99.0,0.13
1216,3.0,99.0,0.13
1217,3.0,99.0,0.13
1218,3.0,99.0,0.13
1219,3.0,99.0,0.13
1220,3.0,99.0,0.13
1221,3.0,99.0,0.13
1222,3.0,99.0,0.13
1223,3.0,99.0,0.13
1224,3.0,99.0,0.13
1225,3.0,99.0,0.13
1226,3.0,99.0,0.13
1227,3.0,99.0,0.13
1228,3.0,99.0,0.13
1229,3.0,99.0,0.13
1230,3.0,99.0,0.13
1231,3.0,99.0,0.13
1232,3.0,99.0,0.13
1233,3.0,99.0,0.13
1234,3.0,99.0,0.13
1235,3.0,99.0,0.13
1236,3.0,99.0,0.13
1237,3.0,99.0,0.13
1238,3.0,99.0,0.13
1239,3.0,99.0,0.13
1240,3.0,99.0,0.13
1241,3.0,99.0,0.13
1242,3.0,99.0,0.13
1243,3.0,99.0,0.13
1244,3.0,99.0,0.13
1245,3.0,99.0,0.13
1246,3.0,99.0,0.13
1247,3.0,99.0,0.13
1248,3.0,99.0,0.13
1249,3.0,99.0,0.13
1250,3.0,99.0,0.13
1251,3.0,99.0,0.13
1252,3.0,99.0,0.13
1253,3.0,99.0,0.13
1254,3.0,99.0,0.13
1255,3.0,99.0,0.13
1256,3.0,99.0,0.13
1257,3.0,99.0,0.13
1258,3.0,99.0,0.13
1259,3.0,99.0,0.13
1260,3.0,99.0,0.13
1261,3.0,99.0,0.13
1262,3.0,99.0,0.13
1263,3.0,99.0,0.13
1264,3.0,99.0,0.13
1265,9.0,114.0,0.15
1266,9.0,114.0,0.15
1267,9.0,114.0,0.15
1268,9.0,114.0,0.15
1269,9.0,114.0,0.15
1270,9.0,114.0,0.15
1271,9.0,114.0,0.15
1272,9.0,114.0,0.15
1273,9.0,114.0,0.15
1274,9.0,114.0,0.15
1275,9.0,114.0,0.15
1276,9.0,114.0,0.15
1277,9.0,114.0,0.15
1278,9.0,114.0,0.15
1279,9.0,114.0,0.15
1280,9.0,114.0,0.15
1281,9.0,114.0,0.15
1282,9.0,114.0,0.15
1283,9.0,114.0,0.15
1284,9.0,114.0,0.15
1285,9.0,114.0,0.15
1286,9.0,114.0,0.15
1287,9.0,114.0,0.15
1288,9.0,114.0,0.15
1289,9.0,114.0,0.15
1290,9.0,114.0,0.15
1291,9.0,114.0,0.15
1292,9.0,114.0,0.15
1293,9.0,114.0,0.15
1294,9.0,114.0,0.15
1295,9.0,114.0,0.15
1296,9.0,114.0,0.15
1297,9.0,114.0,0.15
1298,9.0,114.0,0.15
1299,9.0,114.0,0.15
1300,9.0,114.0,0.15
1301,9.0,114.0,0.15
1302,9.0,114.0,0.15
1303,9.0,114.0,0.15
1304,9.0,114.0,0.15
1305,9.0,114.0,0.15
1306,9.0,114.0,0.15
1307,9.0,114.0,0.15
1308,9.0,114.0,0.15
1309,9.0,114.0,0.15
1310,9.0,114.0,0.15
1311,9.0,114.0,0.15
1312,9.0,114.0,0.15
1313,9.0,114.0,0.15
1314,9.0,114.0,0.15
1315,9.0,114.0,0.15
1316,9.0,114.0,0.15
1317,9.0,114.0,0.15
1318,9.0,114.0,0.15
1319,9.0,114.0,0.15
1320,9.0,114.0,0.15
1321,9.0,114.0,0.15
1322,9.0,114.0,0.15
1323,9.0,114.0,0.15
1324,9.0,114.0,0.15
1325,9.0,114.0,0.15
1326,9.0,114.0,0.15
1327,9.0,114.0,0.15
1328,9.0,114.0,0.15
1329,9.0,114.0,0.15
1330,3.0,117.0,0.15
1331,3.0,117.0,0.15
1332,3.0,117.0,0.15
1333,3.0,117.0,0.15
1334,3.0,117.0,0.15
1335,3.0,117.0,0.15
1336,3.0,117.0,0.15
1337,3.0,117.0,0.15
1338,3.0,117.0,0.15
1339,3.0,117.0,0.15
1340,3.0,117.0,0.15
1341,3.0,117.0,0.15
1342,3.0,117.0,0.15
1343,3.0,117.0,0.15
1344,3.0,117.0,0.15
1345,3.0,117.0,0.15
1346,3.0,117.0,0.15
1347,3.0,117.0,0.15
1348,3.0,117.0,0.15
1349,3.0,117.0,0.15
1350,3.0,117.0,0.15
1351,3.0,117.0,0.15
1352,3.0,117.0,0.15
1353,3.0,117.0,0.15
1354,3.0,117.0,0.15
1355,3.0,117.0,0.15
1356,14.0,123.0,0.16
1357,14.0,123.0,0.16
1358,14.0,123.0,0.16
1359,14.0,123.0,0.16
1360,14.0,123.0,0.16
1361,14.0,123.0,0.16
1362,14.0,123.0,0.16
1363,14.0,123.0,0.16
1364,14.0,123.0,0.16
1365,14.0,123.0,0.16
1366,14.0,123.0,0.16
1367,14.0,123.0,0.16
1368,14.0,123.0,0.16
1369,14.0,123.0,0.16
1370,14.0,123.0,0.16
1371,14.0,123.0,0.16
1372,14.0,123.0,0.16
1373,14.0,123.0,0.16
1374,14.0,123.0,0.16
1375,14.0,123.0,0.16
1376,14.0,123.0,0.16
1377,14.0,123.0,0.16
1378,14.0,123.0,0.16
1379,14.0,123.0,0.16
1380,14.0,123.0,0.16
1381,14.0,123.0,0.16
1382,14.0,123.0,0.16
1383,14.0,123.0,0.16
1384,14.0,123.0,0.16
1385,14.0,123.0,0.16
1386,14.0,123.0,0.16
1387,14.0,123.0,0.16
1388,14.0,123.0,0.16
1389,14.0,123.0,0.16
1390,14.0,123.0,0.16
1391,14.0,123.0,0.16
1392,14.0,123.0,0.16
1393,14.0,123.0,0.16
1394,14.0,123.0,0.16
1395,14.0,123.0,0.16
1396,14.0,123.0,0.16
1397,14.0,123.0,0.16
1398,14.0,123.0,0.16
1399,14.0,123.0,0.16
1400,14.0,123.0,0.16
1401,14.0,123.0,0.16
1402,14.0,123.0,0.16
1403,14.0,123.0,0.16
1404,14.0,123.0,0.16
1405,14.0,123.0,0.16
1406,14.0,123.0,0.16
1407,14.0,123.0,0.16
1408,14.0,123.0,0.16
1409,14.0,123.0,0.16
1410,14.0,123.0,0.16
1411,14.0,123.0,0.16
1412,14.0,123.0,0.16
1413,14.0,123.0,0.16
1414,14.0,123.0,0.16
1415,14.0,123.0,0.16
1416,14.0,123.0,0.16
1417,14.0,123.0,0.16
1418,14.0,123.0,0.16
1419,14.0,123.0,0.16
1420,14.0,123.0,0.16
1421,14.0,123.0,0.16
1422,14.0,123.0,0.16
1423,14.0,123.0,0.16
1424,14.0,123.0,0.16
1425,14.0,123.0,0.16
1426,14.0,123.0,0.16
1427,14.0,123.0,0.16
1428,14.0,123.0,0.16
1429,14.0,123.0,0.16
1430,14.0,123.0,0.16
1431,14.0,123.0,0.16
1432,14.0,123.0,0.16
1433,14.0,123.0,0.16
1434,14.0,123.0,0.16
1435,14.0,123.0,0.16
1436,14.0,123.0,0.16
1437,14.0,123.0,0.16
1438,14.0,123.0,0.16
1439,14.0,123.0,0.16
1440,14.0,123.0,0.16
1441,14.0,123.0,0.16
1442,6.0,120.0,0.16
1443,6.0,120.0,0.16
1444,6.0,120.0,0.16
1445,6.0,120.0,0.16
1446,6.0,120.0,0.16
1447,6.0,120.0,0.16
1448,6.0,120.0,0.16
1449,6.0,120.0,0.16
1450,6.0,120.0,0.16
1451,6.0,120.0,0.16
1452,6.0,120.0,0.16
1453,6.0,120.0,0.16
1454,6.0,120.0,0.16
1455,6.0,120.0,0.16
1456,6.0,120.0,0.16
1457,6.0,120.0,0.16
1458,6.0,120.0,0.16
1459,6.0,120.0,0.16
1460,6.0,120.0,0.16
1461,6.0,120.0,0.16
1462,6.0,120.0,0.16
1463,6.0,120.0,0.16
1464,6.0,120.0,0.16
1465,6.0,120.0,0.16
1466,6.0,120.0,0.16
1467,6.0,120.0,0.16
1468,6.0,120.0,0.16
1469,6.0,120.0,0.16
1470,6.0,120.0,0.16
1471,6.0,120.0,0.16
1472,6.0,120.0,0.16
1473,6.0,120.0,0.16
1474,6.0,120.0,0.16
1475,6.0,120.0,0.16
1476,6.0,120.0,0.16
1477,6.0,120.0,0.16
1478,6.0,120.0,0.16
1479,6.0,120.0,0.16
1480,6.0,120.0,0.16
1481,6.0,120.0,0.16
1482,6.0,120.0,0.16
1483,6.0,120.0,0.16
1484,6.0,120.0,0.16
1485,6.0,120.0,0.16
1486,6.0,120.0,0.16
1487,6.0,120.0,0.16
1488,6.0,120.0,0.16
1489,6.0,120.0,0.16
1490,6.0,120.0,0.16
1491,6.0,120.0,0.16
1492,6.0,120.0,0.16
1493,6.0,120.0,0.16
1494,6.0,120.0,0.16
1495,6.0,120.0,0.16
1496,6.0,120.0,0.16
1497,6.0,120.0,0.16
1498,6.0,120.0,0.16
1499,6.0,120.0,0.16
1500,6.0,120.0,0.16
1501,6.0,120.0,0.16
1502,6.0,120.0,0.16
1503,6.0,120.0,0.16
1504,6.0,120.0,0.16
1505,6.0,120.0,0.16
1506,6.0,120.0,0.16
1507,6.0,120.0,0.16
1508,6.0,120.0,0.16
1509,6.0,120.0,0.16
1510,6.0,120.0,0.16
1511,6.0,120.0,0.16
1512,6.0,120.0,0.16
1513,6.0,120.0,0.16
1514,6.0,120.0,0.16
1515,6.0,120.0,0.16
1516,6.0,120.0,0.16
1517,6.0,120.0,0.16
1518,6.0,120.0,0.16
1519,6.0,120.0,0.16
1520,6.0,120.0,0.16
1521,6.0,120.0,0.16
1522,6.0,120.0,0.16
1523,6.0,120.0,0.16
1524,6.0,120.0,0.16
1525,6.0,120.0,0.16
1526,6.0,120.0,0.16
1527,6.0,120.0,0.16
1528,6.0,120.0,0.16
1529,6.0,120.0,0.16
1530,6.0,120.0,0.16
1531,6.0,120.0,0.16
1532,6.0,120.0,0.16
1533,6.0,120.0,0.16
1534,6.0,126.0,0.16
1535,6.0,126.0,0.16
1536,6.0,126.0,0.16
1537,6.0,126.0,0.16
1538,6.0,120.0,0.16
1539,6.0,120.0,0.16
1540,6.0,120.0,0.16
1541,6.0,120.0,0.16
1542,6.0,120.0,0.16
1543,6.0,120.0,0.16
1544,6.0,126.0,0.16
1545,6.0,126.0,0.16
1546,6.0,126.0,0.16
1547,6.0,126.0,0.16
1548,6.0,126.0,0.16
1549,6.0,120.0,0.16
1550,6.0,120.0,0.16
1551,6.0,120.0,0.16
1552,6.0,120.0,0.16
1553,6.0,120.0,0.16
1554,6.0,126.0,0.16
1555,6.0,126.0,0.16
1556,6.0,126.0,0.16
1557,6.0,126.0,0.16
1558,6.0,126.0,0.16
1559,6.0,120.0,0.16
1560,6.0,120.0,0.16
1561,6.0,120.0,0.16
1562,6.0,120.0,0.16
1563,6.0,120.0,0.16
1564,6.0,126.0,0.16
1565,6.0,126.0,0.16
1566,6.0,126.0,0.16
1567,6.0,126.0,0.16
1568,6.0,126.0,0.16
1569,6.0,126.0,0.16
1570,6.0,120.0,0.16
1571,6.0,120.0,0.16
1572,6.0,120.0,0.16
1573,6.0,120.0,0.16
1574,6.0,126.0,0.16
1575,6.0,126.0,0.16
1576,6.0,126.0,0.16
1577,6.0,126.0,0.16
1578,6.0,126.0,0.16
1579,6.0,126.0,0.16
1580,6.0,120.0,0.16
1581,6.0,120.0,0.16
1582,6.0,120.0,0.16
1583,6.0,126.0,0.16
1584,6.0,126.0,0.16
1585,6.0,126.0,0.16
1586,6.0,126.0,0.16
1587,6.0,126.0,0.16
1588,6.0,126.0,0.16
1589,6.0,126.0,0.16
1590,6.0,120.0,0.16
1591,6.0,120.0,0.16
1592,6.0,120.0,0.16
1593,6.0,126.0,0.16
1594,6.0,126.0,0.16
1595,6.0,126.0,0.16
1596,6.0,126.0,0.16
1597,6.0,126.0,0.16
1598,6.0,126.0,0.16
1599,6.0,120.0,0.16
1600,6.0,120.0,0.16
1601,6.0,126.0,0.16
1602,6.0,126.0,0.16
1603,6.0,126.0,0.16
1604,6.0,126.0,0.16
1605,6.0,126.0,0.16
1606,6.0,126.0,0.16
1607,6.0,120.0,0.16
1608,6.0,126.0,0.16
1609,6.0,126.0,0.16
1610,6.0,126.0,0.16
1611,6.0,126.0,0.16
1612,6.0,120.0,0.16
1613,6.0,126.0,0.16
1614,6.0,126.0,0.16
1615,6.0,126.0,0.16
1616,6.0,120.0,0.16
1617,6.0,126.0,0.16
1618,6.0,126.0,0.16
1619,6.0,126.0,0.16
1620,6.0,126.0,0.16
1621,6.0,126.0,0.16
1622,6.0,120.0,0.16
1623,6.0,120.0,0.16
1624,6.0,120.0,0.16
1625,6.0,120.0,0.16
1626,6.0,120.0,0.16
1627,6.0,120.0,0.16
1628,6.0,120.0,0.16
1629,6.0,120.0,0.16
1630,6.0,120.0,0.16
1631,6.0,120.0,0.16
1632,6.0,120.0,0.16
1633,6.0,120.0,0.16
1634,6.0,120.0,0.16
1635,6.0,120.0,0.16
1636,6.0,120.0,0.16
1637,6.0,120.0,0.16
1638,6.0,120.0,0.16
1639,6.0,120.0,0.16
1640,6.0,120.0,0.16
1641,6.0,120.0,0.16
1642,6.0,120.0,0.16
1643,6.0,120.0,0.16
1644,6.0,120.0,0.16
1645,6.0,120.0,0.16
1646,6.0,120.0,0.16
1647,6.0,120.0,0.16
1648,6.0,120.0,0.16
1649,6.0,120.0,0.16
1650,6.0,120.0,0.16
1651,6.0,120.0,0.16
1652,6.0,120.0,0.16
1653,3.0,124.0,0.16
1654,3.0,124.0,0.16
1655,3.0,124.0,0.16
1656,3.0,124.0,0.16
1657,3.0,124.0,0.16
1658,3.0,124.0,0.16
1659,3.0,124.0,0.16
1660,3.0,124.0,0.16
1661,3.0,124.0,0.16
1662,3.0,124.0,0.16
1663,3.0,124.0,0.16
1664,3.0,124.0,0.16
1665,3.0,124.0,0.16
1666,3.0,124.0,0.16
1667,3.0,124.0,0.16
1668,3.0,124.0,0.16
1669,3.0,124.0,0.16
1670,3.0,124.0,0.16
1671,3.0,124.0,0.16
1672,3.0,124.0,0.16
1673,3.0,124.0,0.16
1674,3.0,124.0,0.16
1675,3.0,124.0,0.16
1676,3.0,124.0,0.16
1677,3.0,124.0,0.16
1678,3.0,124.0,0.16
1679,3.0,124.0,0.16
1680,3.0,124.0,0.16
1681,3.0,124.0,0.16
1682,3.0,124.0,0.16
1683,3.0,124.0,0.16
1684,3.0,124.0,0.16
1685,3.0,124.0,0.16
1686,3.0,124.0,0.16
1687,3.0,124.0,0.16
1688,3.0,124.0,0.16
1689,3.0,124.0,0.16
1690,3.0,124.0,0.16
1691,3.0,124.0,0.16
1692,3.0,124.0,0.16
1693,3.0,124.0,0.16
1694,3.0,124.0,0.16
1695,3.0,124.0,0.16
1696,3.0,124.0,0.16
1697,3.0,124.0,0.16
1698,3.0,124.0,0.16
1699,3.0,124.0,0.16
1700,3.0,124.0,0.16
1701,3.0,124.0,0.16
1702,3.0,124.0,0.16
1703,3.0,124.0,0.16
1704,3.0,124.0,0.16
1705,3.0,124.0,0.16
1706,3.0,124.0,0.16
1707,3.0,124.0,0.16
1708,3.0,124.0,0.16
1709,3.0,124.0,0.16
1710,3.0,124.0,0.16
1711,3.0,124.0,0.16
1712,3.0,124.0,0.16
1713,3.0,124.0,0.16
1714,3.0,124.0,0.16
1715,3.0,124.0,0.16
1716,3.0,124.0,0.16
1717,3.0,124.0,0.16
1718,3.0,124.0,0.16
1719,14.0,135.0,0.17
1720,14.0,135.0,0.17
1721,14.0,135.0,0.17
1722,14.0,135.0,0.17
1723,14.0,135.0,0.17
1724,14.0,135.0,0.17
1725,14.0,135.0,0.17
1726,14.0,135.0,0.17
1727,14.0,135.0,0.17
1728,14.0,135.0,0.17
1729,14.0,135.0,0.17
1730,14.0,135.0,0.17
1731,14.0,135.0,0.17
1732,14.0,135.0,0.17
1733,14.0,135.0,0.17
1734,14.0,135.0,0.17
1735,14.0,135.0,0.17
1736,14.0,135.0,0.17
1737,14.0,135.0,0.17
1738,14.0,135.0,0.17
1739,14.0,135.0,0.17
1740,14.0,135.0,0.17
1741,14.0,135.0,0.17
1742,14.0,135.0,0.17
1743,14.0,135.0,0.17
1744,14.0,135.0,0.17
1745,14.0,135.0,0.17
1746,14.0,135.0,0.17
1747,14.0,135.0,0.17
1748,14.0,135.0,0.17
1749,14.0,135.0,0.17
1750,14.0,135.0,0.17
1751,14.0,135.0,0.17
1752,14.0,135.0,0.17
1753,14.0,135.0,0.17
1754,14.0,135.0,0.17
1755,14.0,135.0,0.17
1756,14.0,135.0,0.17
1757,14.0,135.0,0.17
1758,14.0,135.0,0.17
1759,14.0,135.0,0.17
1760,14.0,135.0,0.17
1761,14.0,135.0,0.17
1762,14.0,135.0,0.17
1763,14.0,135.0,0.17
1764,14.0,135.0,0.17
1765,14.0,135.0,0.17
1766,14.0,135.0,0.17
1767,14.0,135.0,0.17
1768,14.0,135.0,0.17
1769,14.0,135.0,0.17
1770,14.0,135.0,0.17
1771,14.0,135.0,0.17
1772,14.0,135.0,0.17
1773,14.0,135.0,0.17
1774,14.0,135.0,0.17
1775,14.0,135.0,0.17
1776,14.0,135.0,0.17
1777,14.0,135.0,0.17
1778,14.0,135.0,0.17
1779,14.0,135.0,0.17
1780,14.0,135.0,0.17
1781,14.0,135.0,0.17
1782,14.0,135.0,0.17
1783,14.0,135.0,0.17
1784,14.0,135.0,0.17
1785,14.0,135.0,0.17
1786,14.0,135.0,0.17
1787,14.0,135.0,0.17
1788,14.0,135.0,0.17
1789,14.0,135.0,0.17
1790,14.0,135.0,0.17
1791,14.0,135.0,0.17
1792,14.0,135.0,0.17
1793,14.0,135.0,0.17
1794,14.0,135.0,0.17
1795,14.0,135.0,0.17
1796,14.0,135.0,0.17
1797,14.0,135.0,0.17
1798,14.0,135.0,0.17
1799,14.0,135.0,0.17
1800,14.0,135.0,0.17
1801,14.0,135.0,0.17
1802,14.0,135.0,0.17
1803,14.0,135.0,0.17
1804,14.0,135.0,0.17
1805,14.0,135.0,0.17
1806,14.0,135.0,0.17
1807,14.0,135.0,0.17
1808,14.0,135.0,0.17
1809,14.0,135.0,0.17
1810,14.0,135.0,0.17
1811,14.0,135.0,0.17
1812,14.0,135.0,0.17
1813,14.0,135.0,0.17
1814,14.0,135.0,0.17
1815,14.0,135.0,0.17
1816,14.0,135.0,0.17
1817,14.0,135.0,0.17
1818,14.0,135.0,0.17
1819,14.0,135.0,0.17
1820,14.0,135.0,0.17
1821,14.0,135.0,0.17
1822,14.0,135.0,0.17
1823,14.0,135.0,0.17
1824,14.0,135.0,0.17
1825,14.0,135.0,0.17
1826,14.0,135.0,0.17
1827,14.0,135.0,0.17
1828,14.0,135.0,0.17
1829,14.0,135.0,0.17
1830,14.0,135.0,0.17
1831,14.0,135.0,0.17
1832,14.0,135.0,0.17
1833,14.0,135.0,0.17
1834,14.0,135.0,0.17
1835,14.0,135.0,0.17
1836,14.0,135.0,0.17
1837,14.0,135.0,0.17
1838,14.0,135.0,0.17
1839,14.0,135.0,0.17
1840,14.0,135.0,0.17
1841,14.0,135.0,0.17
1842,14.0,135.0,0.17
1843,14.0,135.0,0.17
1844,14.0,135.0,0.17
1845,14.0,135.0,0.17
1846,14.0,135.0,0.17
1847,14.0,135.0,0.17
1848,14.0,135.0,0.17
1849,14.0,135.0,0.17
1850,14.0,135.0,0.17
1851,14.0,135.0,0.17
1852,14.0,135.0,0.17
1853,14.0,135.0,0.17
1854,14.0,135.0,0.17
1855,14.0,135.0,0.17
1856,14.0,135.0,0.17
1857,14.0,135.0,0.17
1858,14.0,135.0,0.17
1859,14.0,135.0,0.17
1860,14.0,135.0,0.17
1861,14.0,135.0,0.17
1862,14.0,135.0,0.17
1863,14.0,135.0,0.17
1864,14.0,135.0,0.17
1865,14.0,135.0,0.17
1866,14.0,135.0,0.17
1867,14.0,135.0,0.17
1868,14.0,135.0,0.17
1869,14.0,135.0,0.17
1870,14.0,135.0,0.17
1871,14.0,135.0,0.17
1872,14.0,135.0,0.17
1873,14.0,135.0,0.17
1874,14.0,135.0,0.17
1875,14.0,135.0,0.17
1876,14.0,135.0,0.17
1877,14.0,135.0,0.17
1878,14.0,135.0,0.17
1879,14.0,135.0,0.17
1880,14.0,135.0,0.17
1881,14.0,135.0,0.17
1882,14.0,135.0,0.17
1883,14.0,135.0,0.17
1884,14.0,135.0,0.17
1885,14.0,135.0,0.17
1886,14.0,135.0,0.17
1887,14.0,135.0,0.17
1888,14.0,135.0,0.17
1889,14.0,135.0,0.17
1890,14.0,135.0,0.17
1891,14.0,135.0,0.17
1892,14.0,135.0,0.17
1893,14.0,135.0,0.17
1894,14.0,135.0,0.17
1895,14.0,135.0,0.17
1896,14.0,135.0,0.17
1897,14.0,135.0,0.17
1898,14.0,135.0,0.17
1899,14.0,135.0,0.17
1900,14.0,135.0,0.17
1901,14.0,135.0,0.17
1902,6.0,138.0,0.18
1903,6.0,138.0,0.18
1904,6.0,138.0,0.18
1905,6.0,138.0,0.18
1906,6.0,138.0,0.18
1907,6.0,138.0,0.18
1908,6.0,138.0,0.18
1909,6.0,138.0,0.18
1910,6.0,138.0,0.18
1911,6.0,138.0,0.18
1912,6.0,138.0,0.18
1913,6.0,138.0,0.18
1914,6.0,138.0,0.18
1915,6.0,138.0,0.18
1916,6.0,138.0,0.18
1917,6.0,138.0,0.18
1918,6.0,138.0,0.18
1919,6.0,138.0,0.18
1920,6.0,138.0,0.18
1921,6.0,138.0,0.18
1922,6.0,138.0,0.18
1923,6.0,138.0,0.18
1924,6.0,138.0,0.18
1925,6.0,138.0,0.18
